MEM driver,NIOM driver,MEM no driver,NIOM no driver
-0.0108,-5.0643,-0.012,14.392999999999999
-0.0044,-5.985,-0.0127,14.684000000000001
0.0064,-6.8331,-0.0064,14.927
0.0062,-7.6359,-0.0029,15.024000000000001
-0.0022,-8.4788,-0.0098,15.0
-0.0036,-9.3272,-0.0103,14.995999999999999
0.0006,-10.027000000000001,-0.001,14.964
0.002,-10.681,0.0017,14.860999999999999
0.0005,-11.444,-0.0022,14.595999999999998
0.0023,-12.402999999999999,-0.003,14.077
0.0072,-13.577,-0.0003,13.429
0.0032,-14.936,-0.0008,12.822000000000001
-0.0095,-16.355,-0.0066,12.253
-0.0139,-17.647000000000006,-0.0123,11.556
-0.0059,-18.732,-0.0125,10.731
0.0011,-19.669,-0.0077,9.9125
-0.0046,-20.546,-0.0079,9.2047
-0.0188,-21.392,-0.0212,8.6515
-0.0205,-22.346,-0.0282,8.1135
-0.0116,-23.525,-0.0147,7.6119
-0.0208,-24.788,-0.006999999999999999,7.1712
-0.0419,-25.984,-0.0159,6.4507
-0.0452,-27.123,-0.0158,5.247000000000001
-0.0397,-28.21,-0.0054,3.8673
